OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,NULLABLE
SAMPLE,USERS,USER_ID,VARCHAR2,N
SAMPLE,USERS,USER_NAME,VARCHAR2,N
SAMPLE,USERS,EMAIL,VARCHAR2,Y
SAMPLE,USERS,PHONE,VARCHAR2,Y
SAMPLE,USERS,STATUS,VARCHAR2,N
SAMPLE,USERS,CREATED_DATE,DATE,N
SAMPLE,USERS,UPDATED_DATE,DATE,Y
SAMPLE,USERS,DEL_YN,CHAR,N
SAMPLE,CUSTOMERS,CUSTOMER_ID,VARCHAR2,N
SAMPLE,CUSTOMERS,CUSTOMER_NAME,VARCHAR2,N
SAMPLE,CUSTOMERS,EMAIL,VARCHAR2,Y
SAMPLE,CUSTOMERS,PHONE,VARCHAR2,Y
SAMPLE,CUSTOMERS,ADDRESS,VARCHAR2,Y
SAMPLE,CUSTOMERS,CREATED_DATE,DATE,N
SAMPLE,CUSTOMERS,DEL_YN,CHAR,N
SAMPLE,ORDERS,ORDER_ID,VARCHAR2,N
SAMPLE,ORDERS,CUSTOMER_ID,VARCHAR2,N
SAMPLE,ORDERS,ORDER_DATE,DATE,N
SAMPLE,ORDERS,STATUS,VARCHAR2,N
SAMPLE,ORDERS,TOTAL_AMOUNT,NUMBER,N
SAMPLE,ORDERS,DISCOUNT_AMOUNT,NUMBER,Y
SAMPLE,ORDERS,TAX_AMOUNT,NUMBER,Y
SAMPLE,ORDERS,CREATED_DATE,DATE,N
SAMPLE,ORDERS,UPDATED_DATE,DATE,Y
SAMPLE,ORDERS,DEL_YN,CHAR,N
SAMPLE,ORDER_ITEMS,ORDER_ITEM_ID,VARCHAR2,N
SAMPLE,ORDER_ITEMS,ORDER_ID,VARCHAR2,N
SAMPLE,ORDER_ITEMS,PRODUCT_ID,VARCHAR2,N
SAMPLE,ORDER_ITEMS,QUANTITY,NUMBER,N
SAMPLE,ORDER_ITEMS,UNIT_PRICE,NUMBER,N
SAMPLE,ORDER_ITEMS,DEL_YN,CHAR,N
SAMPLE,PRODUCTS,PRODUCT_ID,VARCHAR2,N
SAMPLE,PRODUCTS,PRODUCT_NAME,VARCHAR2,N
SAMPLE,PRODUCTS,DESCRIPTION,CLOB,Y
SAMPLE,PRODUCTS,PRICE,NUMBER,N
SAMPLE,PRODUCTS,STOCK_QUANTITY,NUMBER,N
SAMPLE,PRODUCTS,CATEGORY_ID,VARCHAR2,Y
SAMPLE,PRODUCTS,BRAND_ID,VARCHAR2,Y
SAMPLE,PRODUCTS,SUPPLIER_ID,VARCHAR2,Y
SAMPLE,PRODUCTS,WAREHOUSE_ID,VARCHAR2,Y
SAMPLE,PRODUCTS,STATUS,VARCHAR2,N
SAMPLE,PRODUCTS,CREATED_DATE,DATE,N
SAMPLE,PRODUCTS,UPDATED_DATE,DATE,Y
SAMPLE,PRODUCTS,DEL_YN,CHAR,N
SAMPLE,CATEGORIES,CATEGORY_ID,VARCHAR2,N
SAMPLE,CATEGORIES,CATEGORY_NAME,VARCHAR2,N
SAMPLE,CATEGORIES,CATEGORY_CODE,VARCHAR2,N
SAMPLE,CATEGORIES,DEL_YN,CHAR,N
SAMPLE,BRANDS,BRAND_ID,VARCHAR2,N
SAMPLE,BRANDS,BRAND_NAME,VARCHAR2,N
SAMPLE,BRANDS,BRAND_CODE,VARCHAR2,N
SAMPLE,BRANDS,DEL_YN,CHAR,N
SAMPLE,SUPPLIERS,SUPPLIER_ID,VARCHAR2,N
SAMPLE,SUPPLIERS,SUPPLIER_NAME,VARCHAR2,N
SAMPLE,SUPPLIERS,DEL_YN,CHAR,N
